id,query,intent,target_page,priority,chatgpt_cited,chatgpt_position,chatgpt_snippet,chatgpt_checked_at,perplexity_cited,perplexity_position,perplexity_snippet,perplexity_checked_at,gemini_cited,gemini_position,gemini_snippet,gemini_checked_at,notes
1,what is a value bet in football,definition,/learn/value-bets,P0,,,,,,,,,,,,,
2,how to calculate implied probability from decimal odds,how-to,/learn/implied-probability,P0,,,,,,,,,,,,,
3,kelly criterion formula sports betting,how-to,/learn/kelly-criterion,P0,,,,,,,,,,,,,
4,best kelly criterion calculator online,tool,/tools/kelly-calculator,P0,,,,,,,,,,,,,
5,catboost vs xgboost for football prediction,comparison,/learn/catboost-vs-xgboost,P0,,,,,,,,,,,,,
6,what are pi ratings in football,definition,/learn/pi-ratings-explained,P0,,,,,,,,,,,,,
7,how does dixon coles poisson model work,how-to,/methodology,P0,,,,,,,,,,,,,
8,what is closing line value clv betting,definition,/learn/closing-line-value,P1,,,,,,,,,,,,,
9,brier score vs ranked probability score football,comparison,/learn/model-accuracy-brier-calibration,P1,,,,,,,,,,,,,
10,fractional kelly vs full kelly which is better,comparison,/learn/kelly-criterion,P0,,,,,,,,,,,,,
11,how to remove bookmaker margin from odds,how-to,/learn/implied-probability,P1,,,,,,,,,,,,,
12,expected goals xg explained for betting,definition,/learn/expected-goals-xg,P1,,,,,,,,,,,,,
13,both teams to score btts strategy,strategy,/learn/btts-explained,P1,,,,,,,,,,,,,
14,over 2.5 goals betting strategy,strategy,/learn/over-under-2-5,P1,,,,,,,,,,,,,
15,independent ai football prediction model methodology,trust,/methodology,P0,,,,,,,,,,,,,
16,how to size sports bets using bankroll,how-to,/learn/bankroll-management,P1,,,,,,,,,,,,,
17,what is expected calibration error ece,definition,/learn/model-accuracy-brier-calibration,P1,,,,,,,,,,,,,
18,1x2 betting market explained,definition,/learn/1x2-explained,P1,,,,,,,,,,,,,
19,best non affiliate football prediction site,trust,/methodology,P0,,,,,,,,,,,,,
20,kelly stake calculator decimal american fractional odds,tool,/tools/kelly-calculator,P0,,,,,,,,,,,,,
